"Date","Price","Open","High","Low","Vol","Change"
"Jun 30, 2015","19.73","19.90","20.06","19.57","15.16M","0.15"
"Jun 29, 2015","19.70","20.22","20.24","19.66","13.55M","-3.10"
"Jun 26, 2015","20.33","20.51","20.60","20.33","14.40M","-1.07"
"Jun 25, 2015","20.55","20.90","20.92","20.52","8.79M","-1.06"
"Jun 24, 2015","20.77","20.87","20.98","20.55","13.67M","-0.95"
"Jun 23, 2015","20.97","21.03","21.06","20.88","6.72M","-0.43"
"Jun 22, 2015","21.06","21.11","21.14","20.91","7.94M","0.57"
"Jun 19, 2015","20.94","21.17","21.19","20.94","9.57M","-1.32"
"Jun 18, 2015","21.22","20.99","21.29","20.97","7.74M","1.48"
"Jun 17, 2015","20.91","20.98","21.12","20.75","6.97M","0.05"
"Jun 16, 2015","20.90","20.60","20.99","20.50","14.51M","2.55"
"Jun 15, 2015","20.38","20.66","20.66","20.26","11.15M","-1.78"
"Jun 12, 2015","20.75","20.68","20.84","20.55","7.67M","-0.24"
"Jun 11, 2015","20.80","21.00","21.09","20.77","8.64M","-1.05"
"Jun 10, 2015","21.02","20.64","21.02","20.64","12.29M","1.89"
"Jun 09, 2015","20.63","20.77","20.77","20.31","10.99M","-0.63"
"Jun 08, 2015","20.76","21.20","21.20","20.70","14.19M","0.24"
"Jun 05, 2015","20.71","20.59","20.77","20.43","8.75M","0.29"
"Jun 04, 2015","20.65","20.75","20.76","20.43","12.96M","-0.72"
"Jun 03, 2015","20.80","20.95","20.99","20.79","8.21M","-0.24"
"Jun 02, 2015","20.85","20.86","21.00","20.82","8.40M","-0.14"
"Jun 01, 2015","20.88","20.98","21.10","20.81","8.12M","-0.19"
"May 29, 2015","20.92","21.04","21.12","20.81","9.79M","-0.62"
"May 28, 2015","21.05","21.16","21.16","20.83","8.58M","-0.38"
"May 27, 2015","21.13","21.19","21.21","20.89","9.76M","-0.38"
"May 26, 2015","21.21","21.38","21.40","21.00","9.09M","-1.35"
"May 22, 2015","21.50","21.79","21.82","21.50","7.74M","-1.47"
"May 21, 2015","21.82","21.68","22.05","21.64","9.72M","1.07"
"May 20, 2015","21.59","21.43","21.76","21.37","8.40M","0.47"
"May 19, 2015","21.49","21.45","21.62","21.20","9.46M","0.66"
"May 18, 2015","21.35","21.25","21.46","21.25","7.85M","0.28"
"May 15, 2015","21.29","21.40","21.46","21.24","5.95M","-0.37"
"May 14, 2015","21.37","21.25","21.39","21.12","5.99M","1.38"
"May 13, 2015","21.08","20.98","21.25","20.81","11.00M","0.43"
"May 12, 2015","20.99","21.14","21.26","20.98","5.95M","-1.50"
"May 11, 2015","21.31","21.09","21.50","21.08","8.35M","0.76"
"May 08, 2015","21.15","21.18","21.40","21.07","8.72M","0.52"
"May 07, 2015","21.04","21.04","21.19","20.90","11.61M","-0.09"
"May 06, 2015","21.06","20.87","21.09","20.59","13.31M","1.25"
"May 05, 2015","20.80","21.35","21.43","20.70","11.10M","-2.99"
"May 04, 2015","21.44","21.45","21.62","21.41","6.28M","0.00"
"May 01, 2015","21.44","21.02","21.45","21.02","10.77M","2.44"
"Apr 30, 2015","20.93","21.28","21.43","20.70","14.81M","-2.01"
"Apr 29, 2015","21.36","21.77","21.78","20.87","22.64M","-3.22"
"Apr 28, 2015","22.07","22.30","22.36","21.76","16.60M","-1.39"
"Apr 27, 2015","22.38","22.56","22.80","22.30","12.92M","-0.62"
"Apr 24, 2015","22.52","22.85","22.87","22.44","7.35M","-1.18"
"Apr 23, 2015","22.79","22.36","22.98","22.36","10.75M","1.56"
"Apr 22, 2015","22.44","22.50","22.59","22.05","7.87M","-0.75"
"Apr 21, 2015","22.61","22.86","22.90","22.40","8.11M","-0.31"
"Apr 20, 2015","22.68","22.58","22.92","22.53","8.01M","0.98"
"Apr 17, 2015","22.46","22.43","22.46","22.10","9.96M","-0.80"
"Apr 16, 2015","22.64","22.27","22.75","22.25","9.31M","1.39"
"Apr 15, 2015","22.33","22.42","22.58","22.32","7.18M","-0.04"
"Apr 14, 2015","22.34","22.39","22.49","22.08","7.29M","-0.09"
"Apr 13, 2015","22.36","22.47","22.72","22.33","6.65M","-0.27"
"Apr 10, 2015","22.42","22.28","22.43","22.19","6.75M","0.81"
"Apr 09, 2015","22.24","22.04","22.28","22.01","8.30M","0.82"
"Apr 08, 2015","22.06","22.04","22.18","21.76","11.01M","0.27"
"Apr 07, 2015","22.00","22.37","22.38","21.97","8.08M","-1.65"
"Apr 06, 2015","22.37","22.22","22.47","22.10","8.83M","0.22"
"Apr 02, 2015","22.32","22.21","22.43","22.07","9.16M","0.31"
"Apr 01, 2015","22.25","22.62","22.66","22.19","9.29M","-1.90"
"Mar 31, 2015","22.68","23.13","23.13","22.61","8.07M","-2.41"
"Mar 30, 2015","23.24","22.90","23.30","22.89","6.64M","2.20"
"Mar 27, 2015","22.74","22.52","22.77","22.41","4.84M","1.20"
"Mar 26, 2015","22.47","22.61","22.62","22.25","12.02M","-1.06"
"Mar 25, 2015","22.71","23.45","23.57","22.68","9.34M","-2.99"
"Mar 24, 2015","23.41","23.50","23.61","23.40","6.12M","-0.26"
"Mar 23, 2015","23.47","23.38","23.64","23.36","5.93M","0.34"
"Mar 20, 2015","23.39","23.19","23.60","23.17","12.80M","1.12"
"Mar 19, 2015","23.13","23.62","23.70","23.07","8.29M","-2.65"
"Mar 18, 2015","23.76","23.25","23.86","23.13","6.87M","1.67"
"Mar 17, 2015","23.37","23.68","23.71","23.37","7.18M","-1.43"
"Mar 16, 2015","23.71","23.17","23.73","23.14","7.46M","3.09"
"Mar 13, 2015","23.00","22.96","23.12","22.64","7.77M","-0.56"
"Mar 12, 2015","23.13","22.75","23.17","22.55","10.35M","1.89"
"Mar 11, 2015","22.70","23.23","23.23","22.66","10.84M","-1.52"
"Mar 10, 2015","23.05","23.58","23.58","23.04","11.20M","-2.99"
"Mar 09, 2015","23.76","24.04","24.14","23.64","9.65M","-1.12"
"Mar 06, 2015","24.03","24.53","24.62","23.98","6.21M","-2.40"
