"Date","Price","Open","High","Low","Vol","Change"
"Jun 30, 2015","34.07","33.49","34.26","33.49","1.16M","2.28"
"Jun 29, 2015","33.31","34.30","34.48","33.27","1.38M","-3.37"
"Jun 26, 2015","34.47","36.08","36.41","34.01","8.53M","-3.66"
"Jun 25, 2015","35.78","35.79","35.96","35.48","1.63M","0.25"
"Jun 24, 2015","35.69","35.33","36.04","35.33","2.11M","0.88"
"Jun 23, 2015","35.38","35.49","35.99","34.79","1.68M","1.87"
"Jun 22, 2015","34.73","35.15","35.46","34.45","1.89M","-1.05"
"Jun 19, 2015","35.10","34.63","35.68","34.13","2.86M","0.95"
"Jun 18, 2015","34.77","36.00","36.27","33.38","6.40M","-2.93"
"Jun 17, 2015","35.82","37.38","37.50","35.07","4.89M","-4.17"
"Jun 16, 2015","37.38","37.75","38.19","37.30","1.87M","-1.16"
"Jun 15, 2015","37.82","37.26","37.96","37.10","1.32M","1.12"
"Jun 12, 2015","37.40","37.27","37.79","37.21","1.07M","0.27"
"Jun 11, 2015","37.30","37.62","38.02","37.13","1.12M","-0.88"
"Jun 10, 2015","37.63","37.26","37.99","37.26","1.90M","1.07"
"Jun 09, 2015","37.23","38.80","38.80","36.73","3.11M","-4.27"
"Jun 08, 2015","38.89","39.70","39.85","38.65","1.00M","-1.77"
"Jun 05, 2015","39.59","40.02","40.28","39.31","1.13M","-1.32"
"Jun 04, 2015","40.12","40.70","40.99","39.74","998.41K","-1.57"
"Jun 03, 2015","40.76","40.50","40.91","40.44","972.65K","0.94"
"Jun 02, 2015","40.38","40.65","41.09","40.32","1.08M","-0.98"
"Jun 01, 2015","40.78","40.39","41.20","40.34","979.03K","1.14"
"May 29, 2015","40.32","39.91","40.36","39.56","811.18K","0.15"
"May 28, 2015","40.26","39.74","40.47","39.57","882.37K","1.31"
"May 27, 2015","39.74","39.78","39.86","39.03","1.47M","0.28"
"May 26, 2015","39.63","40.20","40.45","39.50","738.68K","-1.56"
"May 22, 2015","40.26","40.43","40.69","40.24","606.44K","-0.54"
"May 21, 2015","40.48","40.20","40.58","40.15","616.27K","0.65"
"May 20, 2015","40.22","39.89","40.40","39.61","1.25M","0.70"
"May 19, 2015","39.94","40.32","40.50","39.68","985.27K","-0.84"
